zone_id,area_sqmil,residentia,households,population,jobs1,jobs3,jobs4,jobs5,jobs6,jobs7,jobs9,jobs10,jobs_total,avgincome,hhsize_lc1,hhsize_lc2,hhsize_lc3,pct_poplc1,pct_poplc2,pct_poplc3,pct_ag1,pct_ag2,pct_ag3,hhpop,enrol_elem,enrol_midl,enrol_high,inc1,inc2,inc3,inc4,park_score,park_area,school_cd,coll_enrol,mtbh_score,ldr_score,th_score,comm_rail,light_rail,gq_ratio,mixed_use,bike_share,industrial,node_id,bklane_len,bkpath_len
0,0.025522299,0.019278042,0.010515334,0.031774275,0,0,0,0,0,0,0,0,0,120184,1.85,4.41,1.77,0.32,0.51,0.17,0.17,0.67,0.16,5.199945639,0,0,0,0.023847695,0.051859274,0.11407259,0.193653975,0,0,0,0,0,0,0,0,0,0,0,0,0,82736,0.663343029,0
1,0.637237012,0,0,0,0,0,0,0,0,0,0,0,0,120184,1.85,4.41,1.77,0.32,0.51,0.17,0.17,0.67,0.16,179.3841131,0,0,0,0.023847695,0.051859274,0.11407259,0.193653975,0,0,0,0,0,1,1,0,0,0,0,0,0,79592,2.481500987,0
2,0.573692977,0,0,0,0,0,0,0,0,0,0,0,0,120184,1.85,4.41,1.77,0.32,0.51,0.17,0.17,0.67,0.16,170.2754788,0,0,0,0.023864229,0.051887753,0.114131859,0.193763627,0,0,0,0,0,1,1,0,0,0,0,0,0,79833,1.692273242,0
3,0.478394985,0,0,0,0,0,0,0,0,0,0,0,0,120184,1.79,4.25,1.76,0.29,0.54,0.17,0.22,0.62,0.16,147.1931679,0,0,0,0.02387835,0.051912075,0.114182475,0.193857272,0,0,0,0,0,2,2,0,0,0,0,0,0,80146,1.391604988,0
4,0.381357014,0,0,0,0,0,0,0,0,0,0,0,0,120184,1.79,4.25,1.76,0.29,0.54,0.17,0.22,0.62,0.16,132.0481325,0,0,0,0.023893284,0.051944674,0.114254163,0.193978977,0,0,0,0,0,2,2,0,0,0,0,0,0,80516,2.727726415,0
5,0.122679003,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,80340,1.406731387,0
6,0.233873993,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80755,0.790709154,0
7,0.547137976,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80755,0.103062639,0
8,0.73338598,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80755,0,0
9,0.559215009,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,83073,0,0
10,0.434213012,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,83073,0,0
11,0.090009101,0,0,0,0,0,0,0,0,0,0,0,0,120184,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,83073,0,0
12,0.438282996,0,0,0,0,0,0,0,0,0,0,0,0,116535,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80745,0,0
13,0.772261977,0,0,0,0,0,0,0,0,0,0,0,0,116535,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1276,0,0,0,2,2,0,0,0,0,0,0,80745,0,0
14,0.324438989,0,0,0,0,0,0,0,0,0,0,0,0,116535,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,82549,0,0
15,0.148482993,0,0,0,0,0,0,0,0,0,0,0,0,133856,1.17,2.86,1.14,0.3,0.57,0.13,0.25,0.63,0.12,0.677715231,0,0,0,0.024193548,0.060483871,0.152419355,0.328225806,0,0,0,0,0,1,1,0,0,0,0,0,0,67924,0,0
16,0.391070992,0,0,0,0,0,0,0,0,0,0,0,0,133856,1.17,2.86,1.14,0.3,0.57,0.13,0.25,0.63,0.12,1.784947689,0,0,0,0.024193548,0.060483871,0.152419355,0.328225806,0,0,0,0,0,1,1,0,0,0,0,0,0,68024,0,0
