i,j,dist
1127,1126,3.905641332068715
1127,1128,5.708688222712812
1127,1130,5.064999159279159
1127,1132,4.368880974894224
1127,1133,4.61928835957675
1128,658,12.899824499023016
1128,710,14.686034148097184
1128,1079,9.210445171383787
1128,1080,11.302746040893753
1128,1081,12.339176492858156
1128,1084,13.144878051288112
1128,1085,10.423450912918259
1128,1088,13.124624486329129
1128,1126,5.242392350734896
1128,1127,5.734977779962027
1128,1130,4.324943625789524
1128,1132,5.4736445298281104
1128,1133,4.78331451170196
1130,658,10.765974711126013
1130,660,13.054589778681658
1130,661,14.749268563593937
1130,710,12.552184360200181
1130,1079,7.076595383486781
1130,1080,9.16889625299675
1130,1081,10.205326704961154
1130,1084,11.01102826339111
1130,1085,8.289601125021255
1130,1088,10.990774698432126
1130,1126,6.734445963277844
1130,1127,4.095345664591949
1130,1128,3.3290005738531003
1130,1132,2.83219638959093
1130,1133,2.14186637146478
1132,658,12.40759932954953
1132,660,14.696214397105175
1132,710,14.193808978623698
1132,1079,8.718220001910302
1132,1080,10.810520871420268
1132,1081,11.84695132338467
1132,1084,12.652652881814626
1132,1085,9.931225743444774
1132,1088,12.632399316855643
1132,1126,6.5312514932778445
1132,1127,3.8921511945919485
1132,1128,4.9706251922766205
1132,1130,3.325120103975865
1132,1133,2.879409304273455
1133,658,11.385735200740857
1133,660,13.674350268296502
1133,710,13.171944849815025
1133,1079,7.696355873101625
1133,1080,9.788656742611595
1133,1081,10.825087194575998
1133,1084,11.630788753005953
1133,1085,8.909361614636099
1133,1088,11.61053518804697
1133,1126,6.450124767277844
1133,1127,3.8110244685919485
1133,1128,3.9487610634679453
1133,1130,2.30325597516719
1133,1132,2.54787519359093
